SpecObjID,z,zErr,modelMag_u,modelMag_g,modelMag_r,modelMag_i,modelMag_z
299624092741429248,0.1444119,3.757672E-05,20.9458,18.95822,17.68155,17.16428,16.75422
299624367149574144,0.1288098,3.171329E-05,20.19417,18.23084,17.04985,16.53666,16.11443
299624367619336192,0.1227888,3.735985E-05,22.10337,19.66703,18.43282,17.88618,17.55998
299624642027481088,0.1936121,5.55909E-05,19.83648,18.41805,17.28082,16.79583,16.45795
299624642497243136,0.2425718,5.20234E-05,22.43957,20.01071,18.37717,17.69845,17.25212
299624916905388032,0.2009602,5.805883E-05,20.98884,19.03989,17.71574,17.14651,16.74988
299624917375150080,0.1288268,2.953238E-05,20.19417,18.23084,17.04985,16.53666,16.11443
299625467130963968,0.200907,4.983634E-05,20.98884,19.03989,17.71574,17.14651,16.74988
299625741539108864,0.1227421,4.057649E-05,22.10337,19.66703,18.43282,17.88618,17.55998
299625742008870912,0.1443569,9.337507E-06,20.33098,18.94596,18.11268,17.62639,17.35767
299626016417015808,0.03735544,6.419891E-06,20.46056,18.95893,18.03281,17.5165,17.16691
299626291764684800,0.1259206,9.557034E-06,20.14729,18.60238,17.77199,17.3013,16.97212
299626566172829696,0.1258525,1.068578E-05,20.14729,18.60238,17.77199,17.3013,16.97212
299626566642591744,0.4422246,0.0001440689,23.37176,20.79182,18.91147,18.06108,17.48847
299626841520498688,0.144225,2.991073E-05,21.72701,19.2766,17.89674,17.27209,16.80984
299627115928643584,0.05732279,1.480012E-05,19.30304,17.52271,16.62614,16.15263,15.80685
299627116398405632,0.1449183,5.043736E-05,22.33644,19.79559,18.43163,17.86777,17.46945
299627391276312576,0.1907701,3.118756E-05,20.379,19.06735,18.00173,17.47844,17.06601
299627665684457472,0.1203614,1.408905E-05,20.85373,18.98994,18.01254,17.45427,17.11772
299627666154219520,0.14669,2.3699E-05,20.6253,19.32012,18.10769,17.50023,17.08695
299627940562364416,0.03036829,6.609598E-06,17.7099,16.44275,15.70976,15.30423,14.99366
299627941032126464,0.05756393,1.079588E-05,19.68163,18.34645,17.63799,17.25416,17.02603
299628215440271360,0.1907285,3.307213E-05,20.379,19.06735,18.00173,17.47844,17.06601
299628215910033408,0.2631265,0.0001189596,22.27474,19.80105,18.10094,17.42039,16.92481
299628490318178304,0.04892089,7.182823E-06,18.69513,17.36122,16.79827,16.43765,16.25512
